"Name" -> "Pedestrian_Crashes_from_2005_to_2014"
"ResourceType" -> "DataResource"
"Title" -> "Pedestrian Crashes Champaign-Urbana"
"Description" -> "Features of records of pedestrian crashes in Champaign-Urbana IL from 2005 to 2014"
"Publisher" -> "The Champaign Urbana Urbanized Area Transportation Study (CUUATS) Open Data"
"Source" -> "http://data.cuuats.org/datasets/cb128e58eb85408f9730d509b637b4c7_0?uiTab=table"
"Date" -> "2005-2014"
"Keywords" -> "Text, Pedestrian, Crash, Geographical, Champaign, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Champaign-Urbana, Illinois"
X,Y,OBJECTID,Injury,Fatality,Year,CollisionType,Weather,Light,RoadSurface,TrafficControl,City,CrashSeverity
-88.227957698565675,40.110411902039203,44,1,0,2011,Pedestrian,Clear,Dusk,Snow or Slush,No Controls,Urbana,C-Injury
-88.257914603353086,40.122179043217713,45,1,0,2011,Pedestrian,Clear,Daylight,Snow or Slush,No Controls,Champaign,B-Injury
-88.189688191599515,40.144003333916764,46,1,0,2011,Pedestrian,Clear,Darkness,Dry,No Controls,Urbana,B-Injury
-88.243514873643235,40.11636707707779,47,1,0,2011,Pedestrian,Clear,Darkness,Dry,Other,Champaign,A-Injury
-88.190705559898859,40.098417383138596,48,1,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Urbana,A-Injury
-88.233554962496143,40.112676710794403,49,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Wet,Traffic Signal,Champaign,B-Injury
-88.208924911628301,40.111598138815573,50,1,0,2011,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.234475828619679,40.104138861595082,51,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.190705564084993,40.098417603851068,52,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Urbana,B-Injury
-88.203604798602797,40.105648074840239,53,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.204928417573583,40.109307457894303,54,1,0,2011,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.195667516816457,40.105697137429495,55,1,0,2011,Pedestrian,Rain,Darkness,Wet,No Controls,Urbana,A-Injury
-88.235398264252254,40.112658026263432,56,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.235607421682531,40.11634865413064,57,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.190691504478735,40.09764111455064,58,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.190705560875529,40.098417428983225,59,1,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Urbana,C-Injury
-88.245223200873497,40.121304089807531,60,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,A-Injury
-88.232085785697976,40.11268784289706,61,1,0,2011,Pedestrian,Clear,Darkness,Dry,Stop Sign/Flasher,Champaign,A-Injury
-88.245195420422121,40.115347571561976,62,2,0,2011,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.230294271918069,40.104178847270262,63,1,0,2011,Pedestrian,Rain,Darkness,Wet,Traffic Signal,Champaign,B-Injury
-88.203793748228932,40.112546975121354,64,1,0,2011,Pedestrian,Clear,Darkness,Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.233554962496143,40.112676710794403,65,2,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,A-Injury
-88.219245268679316,40.105986311880393,66,1,0,2011,Pedestrian,Rain,Daylight,Wet,Traffic Signal,Urbana,B-Injury
-88.205004908410842,40.103697518952252,67,1,0,2011,Pedestrian,Clear,Darkness,Dry,School Zone,Urbana,A-Injury
-88.227895892460012,40.110415914870259,68,1,0,2011,Pedestrian,Clear,Daylight,Dry,Other,Urbana,C-Injury
-88.207429750557679,40.112998356484376,69,2,0,2011,Pedestrian,Rain,Darkness,Wet,No Controls,Urbana,A-Injury
-88.219546591377821,40.127377124530454,70,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Urbana,B-Injury
-88.257915845865469,40.118277008240398,71,1,0,2011,Pedestrian,Rain,Darkness,Wet,Traffic Signal,Champaign,A-Injury
-88.246882483988273,40.08357696790253,72,0,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Champaign,Property Damage
-88.246816668095377,40.112617392291668,73,1,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Champaign,A-Injury
-88.23029496366847,40.104178839650288,74,1,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Champaign,B-Injury
-88.24849603730928,40.112617793453254,75,1,0,2011,Pedestrian,Clear,Daylight,Snow or Slush,No Controls,Champaign,A-Injury
-88.295216625197853,40.092755100772486,76,0,1,2011,Pedestrian,Clear,Darkness,Ice,No Controls,Champaign,Fatal
-88.212825727969332,40.116496187074297,77,0,1,2011,Pedestrian,Rain,Darkness,Wet,Traffic Signal,Urbana,Fatal
-88.233577120396561,40.110151054265799,78,1,0,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,No Controls,Champaign,A-Injury
-88.223854600334676,40.105366432080324,79,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Urbana,B-Injury
-88.285864645017753,40.099407155520716,80,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.219477273627319,40.121202678563392,81,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.219488800035194,40.125553421395963,82,2,0,2011,Pedestrian,Clear,Darkness,Dry,No Controls,Urbana,B-Injury
-88.233568340251381,40.116362405765642,83,1,0,2011,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.155805430351208,40.308198216474437,84,0,1,2011,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Rantoul,Fatal
-88.223161829410998,40.113556856184154,85,1,0,2011,Pedestrian,Rain,Daylight,Wet,No Controls,Urbana,B-Injury
-88.233496220297212,40.104147212295636,86,1,0,2011,Pedestrian,Clear,Daylight,Dry,Other Warning Sign,Champaign,B-Injury
-88.233555182298417,40.114436580299056,87,1,0,2011,Pedestrian,Rain,Darkness,Wet,Stop Sign/Flasher,Champaign,A-Injury
-88.238825034003,40.128481847280405,88,1,0,2011,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.238714800941665,40.110237405891965,89,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,B-Injury
-88.14122895296714,40.321589344146545,90,1,0,2011,Pedestrian,Other,Dusk,Dry,No Controls,Rantoul,A-Injury
-88.257990889760492,40.132453390017403,91,1,0,2011,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,B-Injury
-88.212646606825317,40.11649839786854,92,1,0,2012,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,A-Injury
-88.223945775150341,40.111380522675582,93,1,0,2012,Pedestrian,Rain,"Darkness, lighted road",Wet,Lane Use Marking,Urbana,A-Injury
-88.24579458904843,40.130444529501347,94,1,0,2012,Pedestrian,Clear,Darkness,Dry,No Controls,Champaign,C-Injury
-88.22569575779211,40.116407512102349,95,1,0,2012,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.209546329038346,40.116517514664118,96,0,1,2012,Pedestrian,Clear,"Darkness, lighted road",Dry,Lane Use Marking,Urbana,Fatal
-88.173535752876916,40.105816904936574,97,1,0,2012,Pedestrian,Clear,Darkness,Dry,No Controls,Urbana,A-Injury
-88.388828773958025,40.187623961234749,98,1,0,2012,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Mahomet,A-Injury
-88.204925938111771,40.109307510047763,99,1,0,2012,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.190795021713797,40.10241717149357,100,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.24510459248711,40.105734511371843,101,1,0,2012,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,B-Injury
-88.223885756245963,40.109087512240102,102,1,0,2012,Pedestrian,Clear,Dusk,Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.219135754430781,40.100657509662099,103,1,0,2012,Pedestrian,Rain,Daylight,Wet,Traffic Signal,Urbana,C-Injury
-88.276715649160153,40.110337507372279,104,1,0,2012,Pedestrian,Other,Daylight,Wet,Stop Sign/Flasher,Champaign,C-Injury
-88.204610423926553,40.101826972285842,105,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.268194481163007,40.127316044187168,106,1,0,2012,Pedestrian,Clear,Daylight,Wet,Traffic Signal,Champaign,A-Injury
-88.190705587707129,40.098417418310312,107,1,0,2012,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,A-Injury
-88.238715689004351,40.110237417323347,108,1,0,2012,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,A-Injury
-88.219325756047866,40.110577512723523,109,1,0,2012,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Urbana,C-Injury
-88.219385966366517,40.112837669391411,110,1,0,2012,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Urbana,A-Injury
-88.203605751010187,40.118907513705935,111,1,0,2012,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.227990206558403,40.104200847434228,112,1,0,2012,Pedestrian,Clear,"Darkness, lighted road",Dry,Other Warning Sign,Urbana,A-Injury
-88.162720888869202,40.283825569075589,113,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Rantoul,B-Injury
-88.162050895496293,40.302171163047383,114,1,0,2012,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Rantoul,C-Injury
-88.042590602737633,40.127921148507937,115,1,0,2012,Pedestrian,Clear,Darkness,Dry,No Controls,Unincorporated,B-Injury
-88.04420796984202,40.120348563815888,116,1,0,2012,Pedestrian,Rain,Darkness,Wet,Other Regualtory Sig,St Joseph,B-Injury
-88.273397844369441,40.130991932170836,117,1,0,2012,Pedestrian,Clear,Darkness,Dry,No Controls,Champaign,B-Injury
-88.219205712363859,40.103707674865618,118,3,0,2012,Pedestrian,Rain,Daylight,Wet,Other,Urbana,A-Injury
-88.241883681333576,40.134890215406301,119,1,0,2012,Pedestrian,Clear,Darkness,Dry,Lane Use Marking,Champaign,C-Injury
-88.207413951848551,40.112467545239028,120,1,0,2012,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.246705992203374,40.122157514275152,121,1,0,2012,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,A-Injury
-87.994577199420505,39.910124685191349,122,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Broadlands,B-Injury
-88.1922969514588,40.12224463677601,123,1,0,2012,Pedestrian,Clear,Darkness,Dry,No Controls,Unincorporated,B-Injury
-88.233576146522921,40.110287605129344,124,1,0,2012,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.228121558493527,40.110401865815852,125,1,0,2012,Pedestrian,Clear,Daylight,Dry,Other Warning Sign,Urbana,B-Injury
-88.221518639803307,40.106906664365212,126,1,0,2012,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Urbana,C-Injury
-88.236126665051756,40.1014892714824,127,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.261126931839115,40.149088228440938,128,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.350508335610797,40.098301607582265,129,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.207565893229287,40.111659325760833,130,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.238676896681596,40.105511469158508,131,1,0,2012,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Champaign,B-Injury
-88.176241638542834,40.109899711564928,132,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Unincorporated,C-Injury
-88.27591383786887,40.129398207718936,133,1,0,2012,Pedestrian,Clear,Darkness,Dry,No Controls,Champaign,A-Injury
-88.249885040975002,40.115328686415779,134,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.233335726384112,40.09809795150997,135,1,0,2012,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.181286741560768,40.105699610274428,136,1,0,2012,Pedestrian,Rain,Daylight,Wet,Stop Sign/Flasher,Urbana,B-Injury
-88.233915341731787,40.11443952970501,137,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.219305827743781,40.109102834609523,138,0,0,2012,Pedestrian,Clear,Darkness,Dry,Traffic Signal,Urbana,Property Damage
-88.257950669045812,40.123956246964156,139,1,0,2012,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.238636422697397,40.102707404293739,140,1,0,2012,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,A-Injury
-88.258020355006977,40.135867330440242,141,1,0,2013,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.276336703034033,40.098263853261969,142,1,0,2013,Pedestrian,Clear,Daylight,Wet,No Controls,Champaign,A-Injury
-88.242645380866719,40.116378468669915,143,1,0,2013,Pedestrian,Rain,Darkness,Wet,Traffic Signal,Champaign,A-Injury
-88.208925753673086,40.111597511913402,144,1,0,2013,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.223875819912308,40.107017611645702,145,2,0,2013,Pedestrian,Rain,"Darkness, lighted road",Wet,Stop Sign/Flasher,Urbana,B-Injury
-88.219255756185532,40.106477511804613,146,1,0,2013,Pedestrian,Rain,Darkness,Wet,No Controls,Urbana,C-Injury
-88.225357769630378,40.107008770486644,147,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,C-Injury
-88.242086787444165,40.117787761677022,148,1,0,2013,Pedestrian,Rain,"Darkness, lighted road",Wet,Traffic Signal,Champaign,A-Injury
-88.209464747512655,40.10452647290694,149,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.13887977262803,40.380316482440293,150,1,0,2013,Pedestrian,Clear,Daylight,Snow or Slush,Lane Use Marking,Unincorporated,A-Injury
-88.275495772253322,40.110053897657153,151,1,0,2013,Pedestrian,Clear,Darkness,Dry,No Controls,Champaign,A-Injury
-88.170261022804723,40.107213257118978,152,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Unincorporated,C-Injury
-88.268905750382501,40.12732907693983,153,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.276815771881004,40.116470980681385,154,1,0,2013,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.225696619848307,40.116407512903486,155,1,0,2013,Pedestrian,Rain,"Darkness, lighted road",Wet,No Controls,Urbana,B-Injury
-88.278725851105776,40.112857509499086,156,2,0,2013,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.136526442720296,40.312127552653827,157,1,0,2013,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Rantoul,B-Injury
-88.193848637503919,40.309868691932706,158,1,0,2013,Pedestrian,Clear,Daylight,Dry,Police/Flagman,Rantoul,B-Injury
-88.243725765621889,40.137977515758557,159,1,0,2013,Pedestrian,Clear,Daylight,NA,No Controls,Champaign,B-Injury
-88.257415591414755,40.098157507654719,160,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.164848518798252,40.288252144450453,161,1,0,2013,Pedestrian,Clear,"Darkness, lighted road",Dry,No Controls,Rantoul,B-Injury
-88.230406206306355,40.109147625611691,162,1,0,2013,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.335150967109328,40.177204291639967,163,1,0,2013,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,B-Injury
-88.219485039199881,40.120077738269337,164,1,0,2013,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.233805764016324,40.126127696163621,165,1,0,2013,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.273005839771969,40.139561723991214,166,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.257755765733307,40.108139751222119,167,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.239785602550086,40.110217168530696,168,1,0,2013,Pedestrian,Rain,Daylight,Wet,No Controls,Champaign,C-Injury
-88.243475781316576,40.110230171041444,169,1,0,2013,Pedestrian,Sleet/Hail,"Darkness, lighted road",Wet,Traffic Signal,Champaign,B-Injury
-88.190675745783523,40.094767510356355,170,1,0,2013,Pedestrian,Rain,"Darkness, lighted road",Wet,Stop Sign/Flasher,Urbana,B-Injury
-88.281284599219347,40.106147516701675,171,1,0,2013,Pedestrian,Clear,Daylight,Wet,No Controls,Champaign,B-Injury
-88.241446273258106,40.098057516982259,172,1,0,2013,Pedestrian,Clear,NA,NA,No Controls,Champaign,B-Injury
-88.178264735667952,40.112999353524458,173,1,0,2013,Pedestrian,Clear,Darkness,Dry,No Controls,Urbana,C-Injury
-88.219225674231325,40.104643667376557,174,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.272576760208807,40.112809579699494,175,1,0,2013,Pedestrian,Clear,Darkness,Dry,Lane Use Marking,Champaign,A-Injury
-88.257495222890952,40.083607498423213,176,1,0,2013,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.365315804948352,40.194466781366394,177,1,0,2013,Pedestrian,Clear,Darkness,Dry,No Controls,Unincorporated,B-Injury
-88.276673213155632,40.108814114846396,178,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.224025757293646,40.116407513314613,179,1,0,2013,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Urbana,A-Injury
-88.390323021599102,40.178638026918364,180,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Mahomet,C-Injury
-88.275507270806045,40.130244776927896,181,1,0,2013,Pedestrian,Clear,Dusk,Dry,No Controls,Champaign,B-Injury
-88.219305819359704,40.109102288873146,182,1,0,2013,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Urbana,B-Injury
-88.201880629110079,40.103691739423518,183,1,0,2013,Pedestrian,Clear,Daylight,Dry,No Controls,Urbana,C-Injury
-88.238675760331034,40.105377510268674,184,1,0,2013,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Champaign,B-Injury
-88.219385966366517,40.112837669391411,185,1,0,2013,Pedestrian,Other,Dawn,Dry,Traffic Signal,Urbana,B-Injury
-88.286094578087784,40.10240926029109,186,1,0,2013,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.243649737666559,40.131373601814673,187,1,0,2013,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.293175659856857,40.077199039996238,188,1,0,2013,Pedestrian,Rain,Darkness,Wet,No Controls,Champaign,C-Injury
-88.248286699411096,40.10901762053296,189,1,0,2014,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.281748081206786,40.098347529734362,190,1,0,2014,Pedestrian,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,A-Injury
-88.257781480007438,40.109761486490555,191,0,0,2014,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,Property Damage
-88.282613812890432,40.097193502322661,192,1,0,2014,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.2364119876312,40.12740884023129,193,1,0,2014,Pedestrian,Clear,Daylight,Dry,Lane Use Marking,Champaign,A-Injury
-88.281083902232638,40.10322177896218,194,1,0,2014,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.26271576953026,40.127237512979889,195,1,0,2014,Pedestrian,Clear,Darkness,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.238715719389091,40.110239226650862,196,1,0,2014,Pedestrian,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,C-Injury
-88.266509932678943,40.127291561954365,197,1,0,2014,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.272335362396561,40.098247502500641,198,1,0,2014,Pedestrian,Clear,"Darkness, lighted road",Wet,Lane Use Marking,Champaign,A-Injury
-88.259115798419558,40.138086671892573,199,1,0,2014,Pedestrian,Clear,Daylight,Dry,No Controls,Champaign,A-Injury
-88.240914902733579,40.127219101392548,200,1,0,2014,Pedestrian,Clear,Daylight,Dry,Other,Champaign,B-Injury
-88.246875765495247,40.127199856363511,201,1,0,2014,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.257910809042301,40.118279786852391,202,1,0,2014,Pedestrian,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
